class_name,count,avg_confidence,max_confidence,min_confidence,avg_box_area
person,1898,0.766,0.9527,0.5012,167220.46
sports ball,10,0.6091,0.7434,0.5113,10893.16
baseball glove,8,0.564,0.7488,0.5086,13526.48
clock,6,0.5322,0.5482,0.5034,22304.06
tv,6,0.5295,0.5488,0.5016,58306.52
chair,4,0.5576,0.6015,0.5139,24381.39
frisbee,3,0.5588,0.6191,0.526,10231.07
bicycle,3,0.6864,0.6892,0.6837,8885.29
traffic light,3,0.5826,0.5862,0.5769,47271.89
umbrella,2,0.6896,0.706,0.6733,407776.28
tennis racket,1,0.5933,0.5933,0.5933,9553.22
