class_name,count,avg_confidence,max_confidence,min_confidence,avg_box_area
person,2445,0.6758,0.9527,0.25,138744.95
tv,102,0.3556,0.5488,0.2514,25680.8
chair,68,0.3197,0.6015,0.2511,20683.35
sports ball,41,0.4019,0.7434,0.252,11230.38
clock,24,0.4013,0.5482,0.2513,17494.28
traffic light,19,0.3923,0.5862,0.2694,29845.72
baseball glove,18,0.4625,0.7488,0.3244,13604.41
frisbee,16,0.3805,0.6191,0.2599,15717.15
car,12,0.3259,0.3914,0.2738,38419.81
orange,9,0.3647,0.4522,0.2585,13543.19
cup,8,0.326,0.4071,0.257,4924.5
bench,5,0.3433,0.3776,0.2973,108010.49
umbrella,4,0.4991,0.706,0.2837,211833.71
bottle,3,0.3457,0.3832,0.2832,4689.7
bicycle,3,0.6864,0.6892,0.6837,8885.29
donut,2,0.4226,0.4886,0.3566,11410.58
bowl,2,0.3888,0.3915,0.3861,31745.02
train,1,0.2753,0.2753,0.2753,1874172.35
tennis racket,1,0.5933,0.5933,0.5933,9553.22
